,activation,num_layers,neurons_per_layer,n_iter_,best_loss_,rmse,misclassification_rate,elapsed_time
101,relu,4,1,26,0.4934432198283076,0.44433759399346057,0.1974358974358974,0.11217951774597168
102,relu,6,1,28,0.4951288512492559,0.44433759399346057,0.1974358974358974,0.15691804885864258
103,relu,8,1,129,0.49573767771524674,0.44433759399346057,0.1974358974358974,0.9080090522766113
104,relu,10,1,129,0.4956314058703507,0.44433759399346057,0.1974358974358974,1.0581707954406738
105,relu,2,2,167,0.4956931752993824,0.44433759399346057,0.1974358974358974,0.4997901916503906
106,relu,4,2,207,0.4958967743648936,0.44433759399346057,0.1974358974358974,0.8930401802062988
107,relu,6,2,63,0.4950772881795183,0.44433759399346057,0.1974358974358974,0.3557004928588867
108,relu,8,2,68,0.49510387384110827,0.44433759399346057,0.1974358974358974,0.4848461151123047
109,relu,10,2,24,0.4950620057332209,0.44433759399346057,0.1974358974358974,0.20716595649719238
110,relu,2,3,174,0.4831277651985596,0.44433759399346057,0.1974358974358974,0.5488889217376709
111,relu,4,3,85,0.48826008071701776,0.44433759399346057,0.1974358974358974,0.39123964309692383
112,relu,6,3,216,0.47669646887521,0.44433759399346057,0.1974358974358974,1.3384959697723389
113,relu,8,3,86,0.4954833506810078,0.44433759399346057,0.1974358974358974,0.6479864120483398
114,relu,10,3,33,0.49507094223744397,0.44433759399346057,0.1974358974358974,0.30176854133605957
116,relu,4,4,84,0.4957341305092948,0.44433759399346057,0.1974358974358974,0.3971576690673828
123,relu,8,5,57,0.4950655286101166,0.44433759399346057,0.1974358974358974,0.4770393371582031
127,relu,6,6,35,0.49266990590396237,0.44433759399346057,0.1974358974358974,0.24143648147583008
129,relu,10,6,189,0.40135156521906384,0.44433759399346057,0.1974358974358974,1.95109224319458
5,tanh,2,2,48,0.4950981321467496,0.44491428157423535,0.19794871794871793,0.14829492568969727
56,identity,4,2,234,0.4945255834430303,0.44491428157423535,0.19794871794871793,0.9721095561981201
98,identity,8,10,78,0.4183393399092484,0.4472135954999579,0.19999999999999996,0.6165645122528076
